protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
Q05763	1.0188822422867203	0.06588044134833677	11.933600221374371	15.465625630822268	2.942879256982748e-9	4.8112026017828054e-8	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G34570	DIHYDROFOLATE REDUCTASE-THYMIDYLATE SYNTHASE;<br>T4L20.150;<br>T4L20_150;<br>thymidylate synthase 2	mitochondrion	10-formyltetrahydrofolate biosynthetic process; dTMP biosynthetic process; metabolic process; methylation; nucleotide biosynthetic process; one-carbon metabolic process; tetrahydrofolate biosynthetic process	catalytic activity; dihydrofolate reductase activity; methyltransferase activity; oxidoreductase activity; thymidylate synthase activity; transferase activity; transferase activity, transferring one-carbon groups	thymidylate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:829609]	Thymidylate synthase; Dihydrofolate reductase domain; Bifunctional dihydrofolate reductase/thymidylate synthase; Dihydrofolate reductase conserved site; Thymidylate synthase, active site; Thymidylate synthase/dCMP hydroxymethylase domain; Dihydrofolate reductase-like domain superfamily; Thymidylate synthase/dCMP hydroxymethylase superfamily; Thymidylate synthase/dCMP hydroxymethylase	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FMU6	1.1984105622083676	0.22379995031152808	10.956065195228144	5.354829438255853	2.3529477586360217e-4	8.078907333120214e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G14040	mitochondrial phosphate transporter 3;<br>MPT3;<br>MUA22.4;<br>MUA22_4;<br>phosphate transporter 3;1	membrane; mitochondrial inner membrane; mitochondrion; plant-type cell wall; plant-type vacuole	mitochondrial phosphate ion transmembrane transport; response to salt stress	inorganic phosphate transmembrane transporter activity; mRNA binding	phosphate transporter 3;1 [Source:NCBI gene (formerly Entrezgene);Acc:831252]	Mitochondrial substrate/solute carrier; Mitochondrial carrier domain superfamily; Mitochondrial phosphate carrier protein Pic2/Mir1-like	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.184174944067509	0.08108984541794155	9.597164827984251	14.603245794392697	7.131912513048734e-8	5.648474710334597e-7	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O04202	2.1461052418075104	0.07672620570046836	13.615745846688013	27.97095493273441	2.0026976654979962e-13	7.930682755372065e-12	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT2G39990	Arabidopsis thaliana eukaryotic translation initiation factor 3 subunit F;<br>AteIF3f;<br>eIF3F;<br>eukaryotic translation initiation factor 2;<br>eukaryotic translation initiation factor 3 subunit F;<br>T28M21.15;<br>T28M21_15;<br>TRANSLATION INITIATION FACTOR EIF2 P47 SUBUNIT HOMOLOG	cytoplasm; eukaryotic 43S preinitiation complex; eukaryotic 48S preinitiation complex; eukaryotic translation initiation factor 3 complex; Golgi apparatus; nucleus	cytoplasmic translational initiation; embryo development ending in seed dormancy; formation of cytoplasmic translation initiation complex; pollen germination; response to sucrose; translation; translational initiation	metallopeptidase activity; peptidase activity; protein binding; translation initiation factor activity; translation initiation factor binding	eukaryotic translation initiation factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:818587]	JAB1/MPN/MOV34 metalloenzyme domain; Rpn11/EIF3F, C-terminal; Eukaryotic translation initiation factor 3 subunit F; MPN domain	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O22243	2.1247544826557982	0.06910409441490703	12.300914892651075	30.74715761266744	5.227423452787604e-13	1.8265232535034333e-11	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT2G47680	F17A22.7	NA	biological_process	ATP binding; ATP hydrolysis activity; DNA binding; helicase activity; hydrolase activity; metal ion binding; mRNA binding; nucleic acid binding; nucleotide binding; RNA binding; RNA helicase activity	zinc finger (CCCH type) helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:819381]	Zinc finger, CCCH-type; Helicase, C-terminal; DEAD/DEAH box helicase domain; Helicase superfamily 1/2, ATP-binding domain; P-loop containing nucleoside triphosphate hydrolase; Zinc finger, CCCH-type superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O23290	2.6754615899732443	0.2087371510901135	11.823599476615296	12.817371397476943	2.7197211924684097e-8	2.233430029944104e-7	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT3G23390	RPL36a A;<br>RPL36aA	cytosol; cytosolic large ribosomal subunit; ribonucleoprotein complex; ribosome	translation	structural constituent of ribosome	Zinc-binding ribosomal protein family protein [Source:NCBI gene (formerly Entrezgene);Acc:821920]	Ribosomal protein L44e; Zinc-binding ribosomal protein	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O23290	2.6754615899732443	0.2087371510901135	11.823599476615296	12.817371397476943	2.7197211924684097e-8	2.233430029944104e-7	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT4G14320	API2;<br>APICULATA 2;<br>FCAALL.124;<br>RPL36a B;<br>RPL36aB	cytosol; cytosolic large ribosomal subunit; ribonucleoprotein complex; ribosome	translation	structural constituent of ribosome	Zinc-binding ribosomal protein family protein [Source:NCBI gene (formerly Entrezgene);Acc:827074]	Ribosomal protein L44e; Zinc-binding ribosomal protein	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O65201	1.7872083795074545	0.17743632132392245	11.808287269479228	10.07239310515675	3.799485995746907e-7	2.1911598849258863e-6	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT5G65110	ACYL-COA OXIDASE 2;<br>ATACX2;<br>MQN23.4;<br>MQN23_4	peroxisome	fatty acid beta-oxidation; fatty acid beta-oxidation using acyl-CoA oxidase; fatty acid metabolic process; lipid metabolic process; long-chain fatty acid metabolic process	acyl-CoA oxidase activity; FAD binding; fatty acid binding; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors	acyl-CoA oxidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:836635]	Acyl-CoA oxidase, C-terminal; Acyl-CoA oxidase/dehydrogenase, middle domain; Acyl-CoA dehydrogenase/oxidase C-terminal; Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily; Acyl-CoA oxidase; Peroxisomal acyl-coenzyme A oxidase; Acyl-CoA dehydrogenase-like, C-terminal	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28769	2.638385780949231	0.0628902858700872	12.044141166235525	41.95219888806609	1.9943526342171823e-14	1.3188848198905729e-12	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT3G20050	ATTCP-1;<br>T-complex protein 1 alpha subunit	cytoplasm; cytosol	protein folding	ATP binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone; nucleotide binding; unfolded protein binding	T-complex protein 1 alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:821544]	Chaperonin TCP-1, conserved site; Chaperonin Cpn60/GroEL/TCP-1 family; T-complex protein 1, alpha subunit; Chaperone tailless complex polypeptide 1 (TCP-1); GroEL-like apical domain superfamily; TCP-1-like chaperonin intermediate domain superfamily; GroEL-like equatorial domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P93014	1.3937752391116771	0.30430770692703485	12.936989033260714	4.58015097016872	5.22371759972451e-4	0.00145220979137427	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT2G33800	EMBRYO DEFECTIVE 3113;<br>T1B8.10;<br>T1B8_10	chloroplast; chloroplast stroma; chloroplast thylakoid; chloroplast thylakoid membrane; endoplasmic reticulum; nucleus; plastid; ribonucleoprotein complex; ribosome; small ribosomal subunit; thylakoid	adaxial/abaxial pattern specification; chloroplast rRNA processing; plastid translation; response to cold; translation	mRNA binding; RNA binding; rRNA binding; structural constituent of ribosome	Ribosomal protein S5 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817947]	Ribosomal protein S5; Ribosomal protein S5, C-terminal; Ribosomal protein S5, bacterial-type; Ribosomal protein S5, N-terminal; Ribosomal protein S5 domain 2-type fold, subgroup; Ribosomal protein S5, N-terminal, conserved site; Ribosomal protein S5 domain 2-type fold	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
